,0
fips,0
PRECTOT,0
PS,0
QV2M,0
T2M,0
T2MDEW,0
T2MWET,0
T2M_MAX,0
T2M_MIN,0
T2M_RANGE,0
TS,0
WS10M,0
WS10M_MAX,0
WS10M_MIN,0
WS10M_RANGE,0
WS50M,0
WS50M_MAX,0
WS50M_MIN,0
WS50M_RANGE,0
score,0
