,fips,PRECTOT,PS,QV2M,T2M,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,T2M_RANGE,TS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,score
count,2756796.0,2756796.0,2756796.0,2756796.0,2756796.0,2756796.0,2756796.0,2756796.0,2756796.0,2756796.0,2756796.0,2756796.0,2756796.0,2756796.0,2756796.0,2756796.0,2756796.0,2756796.0,2756796.0,2756796.0
mean,30670.37676962677,2.714566478622283,96.64736479594428,7.875769534633686,12.899229914001625,7.049350307385815,7.084938123822,18.767110268587167,7.519916272368355,11.247200978962539,12.974927640637896,3.5640754484553807,5.202917310530048,1.920655148222793,3.282267578014476,5.532798962999073,7.828798895529445,3.1215776756785782,4.7072233309972855,0.8231265570611681
std,14979.110104662586,6.247589936839128,5.444698299739667,4.721458767310012,10.970402297983796,10.197649738229034,10.143640598064042,11.602952079466851,10.618183295282746,4.038021714495759,11.190949319653706,1.8476450030903153,2.6092188164895522,1.3424581916665739,1.9431364870072054,2.298549655425254,2.8366176012525233,2.1099448507524663,2.1810201463429397,1.239070248453406
min,1001.0,0.0,66.49,0.14,-35.44,-35.44,-35.46,-30.03,-40.85,0.16,-37.16,0.29,0.57,0.0,0.26,0.51,0.85,0.0,0.42,0.0
25%,19044.5,0.0,95.83,3.81,4.58,-0.88,-0.84,10.36,-0.57,8.37,4.46,2.14,3.13,0.96,1.82,3.82,5.7,1.45,3.14,0.0
50%,29212.0,0.19,98.28,6.94,14.21,7.81,7.81,20.62,8.26,11.2,14.23,3.16,4.7,1.66,2.82,5.15,7.35,2.77,4.27,0.0
75%,46007.5,2.26,99.94,11.45,22.0,15.67,15.67,27.97,16.28,14.08,22.18,4.59,6.76,2.57,4.28,6.88,9.49,4.39,5.81,1.0
max,56043.0,168.69,103.76,22.12,39.33,26.87,26.87,47.75,32.28,30.17,42.48,19.75,24.74,14.62,18.72,22.47,28.33,17.78,23.37,5.0
